,t,POT_LEFT,fo,Al,Bl,Cl,As,Bs,Cs,cleq,cseq,L1o,L2o,ko,Noise,did
t,1.0,-0.09696877569356024,-0.46288388032149,-0.19274188190245006,0.1605764646356039,-0.006380722048774954,-0.014402156271876862,-0.29912167523264827,-0.06383696999030758,-0.0248660655520476,-0.06680449979434193,-0.015995171512203057,0.14976335613099176,0.09025568923530952,0.003823659363316883,-0.09206214606211788
POT_LEFT,-0.09696877569356024,0.9999999999999998,-0.038107185234942546,0.18710500982464254,0.39515136637823667,0.00674439756476247,0.06493242146366165,-0.16009071880154038,-0.22609558373592187,-0.2879470041895235,0.13212350080768998,-0.31328286899797436,0.012700379461205117,-0.36331326932115715,0.2935547486713306,-0.21979592434091974
fo,-0.4628838803214901,-0.038107185234942546,0.9999999999999998,-0.26834557902144085,-0.06807979763903506,0.23061301101886897,0.06716890042559086,0.20760755272348796,-0.04328167124423162,-0.12379458830222992,0.1727184353320397,-0.0531028348320386,-0.15904103655222765,0.03866847000772067,-0.14886065758007258,0.21618187983918666
Al,-0.19274188190245006,0.18710500982464257,-0.26834557902144085,1.0,0.013926382338882774,-0.41291307628476814,-0.26169274220914013,0.3590787817392031,0.16524011339693695,-0.02685063865256399,-0.052479722764212915,-0.14427378095911378,0.1854777930693787,-0.15503850746138725,-0.06291877886707328,-0.023177230414531968
Bl,0.1605764646356039,0.39515136637823667,-0.06807979763903506,0.013926382338882774,1.0,-0.014300416626482185,-0.06753374660577137,-0.03714633816042029,-0.22813284604264927,-0.2905157049212206,0.023551965345853534,-0.0329762539151002,-0.13326442423378973,-0.08310522094729683,0.03622152407054184,-0.10146675988078921
Cl,-0.006380722048774953,0.006744397564762471,0.23061301101886897,-0.41291307628476814,-0.014300416626482185,1.0,0.12066010987811446,-0.073607238004336,0.3175793432924606,0.04787698274902398,-0.041608682137745774,-0.031904997862840234,0.1872194317678554,0.2811568303282873,-0.12296871539619278,-0.1660320756753247
As,-0.014402156271876862,0.06493242146366165,0.06716890042559087,-0.26169274220914013,-0.06753374660577136,0.12066010987811447,1.0,0.08063520111684068,-0.339288233117486,-0.18562577765735683,-0.032204495692635136,0.12495031610472325,-0.2049564223830963,-0.21085537841581722,0.19311192748356176,-0.20891454129067272
Bs,-0.29912167523264827,-0.16009071880154038,0.20760755272348796,0.3590787817392031,-0.03714633816042029,-0.073607238004336,0.0806352011168407,1.0,0.21729166671902084,-0.014068056914786131,-0.3133687962035624,-0.01395225821665184,0.1351948166289483,-0.19306049622303617,-0.02224344126589156,0.13891288679597538
Cs,-0.06383696999030758,-0.22609558373592187,-0.04328167124423162,0.16524011339693695,-0.22813284604264927,0.31757934329246057,-0.33928823311748596,0.21729166671902087,0.9999999999999998,0.2716074890492691,-0.21209264806993589,0.09524298561253035,0.1000939928810334,0.0715261616761525,-0.06475236997230849,0.02871318095358206
cleq,-0.024866065552047602,-0.2879470041895235,-0.12379458830222992,-0.02685063865256399,-0.2905157049212206,0.04787698274902399,-0.18562577765735683,-0.014068056914786133,0.2716074890492691,1.0,-0.042189033791416114,0.1701916576132316,-0.1315394824052686,0.2901600326304844,0.1489689248909328,0.14426541835596204
cseq,-0.06680449979434191,0.13212350080769,0.1727184353320397,-0.052479722764212915,0.023551965345853534,-0.041608682137745774,-0.032204495692635136,-0.3133687962035624,-0.2120926480699359,-0.042189033791416114,1.0,-0.04412205248148451,-0.2566491528744009,0.15036428783344097,-0.09393712883457786,-0.24733322215026943
L1o,-0.015995171512203057,-0.3132828689979744,-0.053102834832038606,-0.14427378095911378,-0.032976253915100194,-0.03190499786284024,0.12495031610472325,-0.01395225821665184,0.09524298561253036,0.17019165761323163,-0.044122052481484514,1.0,-0.37693396122124356,0.10767290444244869,0.19141290957650017,0.15067964334770614
L2o,0.14976335613099176,0.012700379461205117,-0.15904103655222765,0.18547779306937867,-0.13326442423378973,0.1872194317678554,-0.2049564223830963,0.1351948166289483,0.10009399288103339,-0.1315394824052686,-0.2566491528744009,-0.3769339612212436,1.0,0.04664275033126236,-0.28136059928207496,-0.011924165431997794
ko,0.09025568923530952,-0.36331326932115715,0.03866847000772066,-0.15503850746138728,-0.08310522094729683,0.28115683032828737,-0.21085537841581722,-0.19306049622303614,0.0715261616761525,0.2901600326304844,0.15036428783344097,0.1076729044424487,0.04664275033126236,1.0,-0.13513603734693924,-0.1345161502383936
Noise,0.0038236593633168827,0.29355474867133063,-0.14886065758007255,-0.0629187788670733,0.03622152407054184,-0.12296871539619278,0.1931119274835618,-0.02224344126589156,-0.06475236997230847,0.14896892489093283,-0.09393712883457785,0.19141290957650017,-0.28136059928207496,-0.13513603734693924,1.0,-0.045495578407040375
did,-0.09206214606211788,-0.21979592434091977,0.21618187983918666,-0.02317723041453197,-0.10146675988078922,-0.16603207567532471,-0.20891454129067275,0.13891288679597538,0.02871318095358206,0.14426541835596204,-0.24733322215026943,0.15067964334770614,-0.011924165431997796,-0.1345161502383936,-0.045495578407040375,1.0
